instruction,input,output
의료용어 설명해줘,진단,질병의 원인과 상태를 판단하는 과정
의료용어 설명해줘,예후,질병의 진행 결과를 예측하는 것
의료용어 설명해줘,증상,환자가 느끼는 주관적인 이상 상태
의료용어 설명해줘,징후,의사가 관찰할 수 있는 객관적인 상태
의료용어 설명해줘,치료,질병을 개선하거나 제거하는 과정
의료용어 설명해줘,처방,의사가 약물이나 치료 방법을 지시하는 것
의료용어 설명해줘,약물,질병 치료에 사용되는 물질
의료용어 설명해줘,항생제,세균 감염을 치료하는 약물
의료용어 설명해줘,백신,면역을 형성하여 질병을 예방하는 물질
의료용어 설명해줘,면역,질병에 저항하는 신체 능력
의료용어 설명해줘,감염,병원체가 체내에 침입하여 증식하는 상태
의료용어 설명해줘,염증,조직이 손상되었을 때 나타나는 반응
의료용어 설명해줘,만성,오랜 기간 지속되는 상태
의료용어 설명해줘,급성,갑자기 발생하고 짧게 지속되는 상태
의료용어 설명해줘,수술,외과적 방법으로 질병을 치료하는 과정
의료용어 설명해줘,마취,통증을 느끼지 않도록 하는 상태
의료용어 설명해줘,중환자실,위중한 환자를 집중 치료하는 병동
의료용어 설명해줘,응급,즉각적인 치료가 필요한 상태
의료용어 설명해줘,활력징후,체온 맥박 호흡 혈압 등을 포함한 기본 지표
의료용어 설명해줘,혈압,혈액이 혈관 벽에 가하는 압력
의료용어 설명해줘,심박수,심장이 1분 동안 뛰는 횟수
의료용어 설명해줘,호흡수,1분 동안 호흡하는 횟수
의료용어 설명해줘,혈당,혈액 내 포도당 농도
의료용어 설명해줘,콜레스테롤,혈액 내 지방 성분
의료용어 설명해줘,종양,비정상적으로 증식한 조직
의료용어 설명해줘,암,악성 종양이 성장하는 질병
의료용어 설명해줘,전이,암세포가 다른 부위로 퍼지는 현상
의료용어 설명해줘,영상의학,X선이나 CT 등을 이용한 진단 분야
의료용어 설명해줘,병리학,질병의 원인과 변화를 연구하는 학문
의료용어 설명해줘,재활,기능 회복을 위한 치료 과정
