instruction,input,output
국방용어 설명해줘,교전수칙,군이 무력을 사용할 때 따라야 하는 기준
국방용어 설명해줘,지휘통제,부대를 지휘하고 통제하는 활동
국방용어 설명해줘,정찰,적의 정보를 수집하는 활동
국방용어 설명해줘,감시,지속적으로 상황을 관찰하는 활동
국방용어 설명해줘,공중조기경보통제기,공중에서 적을 탐지하고 지휘하는 항공기
국방용어 설명해줘,킬체인,적의 공격 징후를 탐지하고 선제 대응하는 체계
국방용어 설명해줘,미사일방어체계,적 미사일을 탐지하고 요격하는 시스템
국방용어 설명해줘,위성항법장치,위성을 이용해 위치를 파악하는 시스템
국방용어 설명해줘,전자기펄스,전자 장비를 무력화시키는 공격 방식
국방용어 설명해줘,스텔스기술,레이더 탐지를 줄이는 기술
국방용어 설명해줘,출격,항공기가 임무 수행을 위해 출발하는 것
국방용어 설명해줘,오인사격,아군을 적으로 착각하여 공격하는 상황
국방용어 설명해줘,무인항공기,사람이 탑승하지 않는 항공기
국방용어 설명해줘,급조폭발물,즉석에서 만들어진 폭발 장치
국방용어 설명해줘,대잠수함작전,적 잠수함을 탐지하고 공격하는 작전
국방용어 설명해줘,전자전,전자기 신호를 이용한 전투 방식
국방용어 설명해줘,합동작전,여러 군이 함께 수행하는 작전
국방용어 설명해줘,군수지원,보급과 정비를 지원하는 활동
국방용어 설명해줘,화력,무기가 발휘하는 공격 능력
국방용어 설명해줘,위장,적에게 발견되지 않도록 숨기는 기술
국방용어 설명해줘,제공권,공중에서 우위를 확보한 상태
국방용어 설명해줘,작전지역,군사 작전이 수행되는 공간
국방용어 설명해줘,전투력증강,전투 효과를 높이는 요소
국방용어 설명해줘,억제력,적의 공격 의지를 사전에 막는 능력
국방용어 설명해줘,상륙작전,해상에서 육지로 병력을 투입하는 작전
국방용어 설명해줘,지휘계통,명령이 전달되는 체계
국방용어 설명해줘,정밀타격,목표를 정확히 공격하는 방식
국방용어 설명해줘,대응체계,위협에 대응하기 위한 시스템
국방용어 설명해줘,전장,전투가 이루어지는 장소
국방용어 설명해줘,감시정찰,적의 움직임을 지속적으로 관찰하는 활동
