instruction,input,output
금융용어 설명해줘,기준금리,중앙은행이 금융기관과 거래할 때 기준이 되는 금리
금융용어 설명해줘,인플레이션,전반적인 물가가 지속적으로 상승하는 현상
금융용어 설명해줘,디플레이션,전반적인 물가가 지속적으로 하락하는 현상
금융용어 설명해줘,금리,돈을 빌리거나 맡길 때 적용되는 비율
금융용어 설명해줘,복리,이자에 이자가 다시 붙는 방식
금융용어 설명해줘,단리,원금에 대해서만 이자가 붙는 방식
금융용어 설명해줘,예금,은행에 돈을 맡기는 금융 행위
금융용어 설명해줘,대출,금융기관에서 돈을 빌리는 것
금융용어 설명해줘,신용점수,개인의 신용도를 평가하여 수치로 나타낸 값
금융용어 설명해줘,담보,대출 상환을 보장하기 위해 제공하는 자산
금융용어 설명해줘,유동성,자산을 현금으로 쉽게 전환할 수 있는 정도
금융용어 설명해줘,자산,경제적 가치를 지닌 재산
금융용어 설명해줘,부채,갚아야 할 금전적 의무
금융용어 설명해줘,자본,자산에서 부채를 뺀 순자산
금융용어 설명해줘,주식,기업의 소유권 일부를 나타내는 증권
금융용어 설명해줘,채권,정부나 기업이 자금을 조달하기 위해 발행하는 증서
금융용어 설명해줘,배당금,기업이 이익을 주주에게 분배하는 금액
금융용어 설명해줘,시가총액,기업의 전체 주식 가치의 총합
금융용어 설명해줘,변동성,자산 가격이 변하는 정도
금융용어 설명해줘,강세장,가격이 지속적으로 상승하는 시장 상태
금융용어 설명해줘,약세장,가격이 지속적으로 하락하는 시장 상태
금융용어 설명해줘,분산투자,여러 자산에 나누어 투자하여 위험을 줄이는 전략
금융용어 설명해줘,레버리지,차입 자금을 활용하여 투자 수익을 확대하는 방식
금융용어 설명해줘,마진,차입 투자 시 필요한 최소 자기 자본
금융용어 설명해줘,상장지수펀드,주식처럼 거래되는 펀드 형태의 금융 상품
금융용어 설명해줘,펀드,여러 투자자의 자금을 모아 운용하는 투자 상품
금융용어 설명해줘,투자수익률,투자 대비 수익의 비율
금융용어 설명해줘,기업공개,비상장 기업이 주식을 공개하여 거래소에 상장하는 과정
금융용어 설명해줘,채무불이행,채무자가 빚을 갚지 못하는 상태
금융용어 설명해줘,헤지,위험을 줄이기 위한 투자 전략
