instruction,input,output
제조용어 설명해줘,린생산,낭비를 줄이고 효율을 높이는 생산 방식
제조용어 설명해줘,식스시그마,품질을 개선하고 불량을 줄이는 방법론
제조용어 설명해줘,적시생산,필요한 시점에 필요한 만큼 생산하는 방식
제조용어 설명해줘,생산라인,제품을 순서대로 조립하는 공정 구조
제조용어 설명해줘,조립,부품을 결합하여 제품을 만드는 과정
제조용어 설명해줘,품질관리,제품의 품질을 유지하기 위한 활동
제조용어 설명해줘,품질보증,품질을 보장하기 위한 체계적인 관리 활동
제조용어 설명해줘,공급망,원재료부터 고객까지 이어지는 흐름
제조용어 설명해줘,재고,보유 중인 원자재와 완제품
제조용어 설명해줘,리드타임,주문부터 납품까지 걸리는 시간
제조용어 설명해줘,사이클타임,제품 하나를 생산하는 데 걸리는 시간
제조용어 설명해줘,처리량,일정 시간 동안 생산되는 양
제조용어 설명해줘,생산능력,설비가 생산할 수 있는 최대 양
제조용어 설명해줘,설비효율,설비의 가동 상태를 나타내는 지표
제조용어 설명해줘,다운타임,설비가 멈춰 있는 시간
제조용어 설명해줘,예방정비,고장을 막기 위해 미리 점검하는 활동
제조용어 설명해줘,사후정비,고장 후에 수리하는 작업
제조용어 설명해줘,자동화,기계를 이용하여 생산을 수행하는 방식
제조용어 설명해줘,PLC,설비를 자동으로 제어하는 장치
제조용어 설명해줘,CNC,컴퓨터로 기계를 정밀하게 제어하는 기술
제조용어 설명해줘,CAD,컴퓨터를 이용한 설계 시스템
제조용어 설명해줘,CAM,컴퓨터를 이용한 생산 공정 제어 시스템
제조용어 설명해줘,ERP,기업 자원을 통합 관리하는 시스템
제조용어 설명해줘,MRP,생산에 필요한 자재를 계산하는 시스템
제조용어 설명해줘,BOM,제품을 구성하는 부품 목록
제조용어 설명해줘,작업지시서,생산 작업을 지시하는 문서
제조용어 설명해줘,공정최적화,생산 효율을 높이기 위한 개선 활동
제조용어 설명해줘,불량,품질 기준에 맞지 않는 제품
제조용어 설명해줘,재작업,불량 제품을 수정하는 작업
제조용어 설명해줘,지속개선,계속해서 생산성을 높이는 활동
