instruction,input,output
운동용어 설명해줘,유산소운동,심폐 지구력을 향상시키는 운동
운동용어 설명해줘,근력운동,근육의 힘을 증가시키는 운동
운동용어 설명해줘,유연성,관절이 움직일 수 있는 범위 능력
운동용어 설명해줘,지구력,오랜 시간 운동을 지속하는 능력
운동용어 설명해줘,고강도인터벌트레이닝,짧은 시간 강하게 운동을 반복하는 방식
운동용어 설명해줘,반복횟수,하나의 동작을 수행한 횟수
운동용어 설명해줘,세트,반복 동작을 묶은 단위
운동용어 설명해줘,휴식시간,세트 사이에 쉬는 시간
운동용어 설명해줘,일회최대중량,한 번 들 수 있는 최대 무게
운동용어 설명해줘,맨몸운동,자신의 체중을 이용한 운동
운동용어 설명해줘,준비운동,운동 전 몸을 풀어주는 과정
운동용어 설명해줘,정리운동,운동 후 몸을 안정시키는 과정
운동용어 설명해줘,지연성근육통,운동 후 시간이 지나 발생하는 근육 통증
운동용어 설명해줘,점진적과부하,운동 강도를 점차 증가시키는 원칙
운동용어 설명해줘,복합운동,여러 관절을 사용하는 운동
운동용어 설명해줘,고립운동,특정 근육만 사용하는 운동
운동용어 설명해줘,스쿼트,하체 근육을 강화하는 운동
운동용어 설명해줘,데드리프트,전신 근력을 강화하는 운동
운동용어 설명해줘,벤치프레스,가슴 근육을 강화하는 운동
운동용어 설명해줘,풀업,등 근육을 사용하는 상체 운동
운동용어 설명해줘,푸시업,팔과 가슴을 사용하는 운동
운동용어 설명해줘,런지,하체 균형과 근력을 강화하는 운동
운동용어 설명해줘,플랭크,코어 근육을 강화하는 정적 운동
운동용어 설명해줘,체질량지수,체중과 키로 계산하는 건강 지표
운동용어 설명해줘,칼로리,에너지를 나타내는 단위
운동용어 설명해줘,기초대사량,생명 유지에 필요한 최소 에너지
운동용어 설명해줘,체지방감량,지방을 줄이는 과정
운동용어 설명해줘,근육증가,근육량을 늘리는 과정
운동용어 설명해줘,자세,올바른 운동 동작 형태
운동용어 설명해줘,회복,운동 후 몸이 회복되는 과정
